id,name,Gross,company
568,My Neighbor Totoro - Studio Ghibli Fest 2018,1144649,Fathom
569,Met Opera: L'Elisir d'Amore (2018),1115018,Fathom
570,Wildlife,1050616,IFC
571,The Dark Crystal (special re-release),1036956,Fathom
572,Zero,1035388,Yash
573,Met Opera: Semiramide,1033651,Fathom
574,MET Opera: La Fanciulla Del West,1023233,Fathom
575,Nothing to Lose (2018),1016188,Swen
576,Elvis: '68 Comeback Special (2018 release),1010657,Fathom
577,Raid (2018),1010385,Eros
578,The Insult,1001305,Cohen
579,Labyrinth (2018 Fathom Event),993336,Fathom
580,Yellow Submarine (2018 re-release),992305,Abr.
581,Little Italy,990230,EOne
582,The Dawn Wall (Fathom),970032,Fathom
583,TCM: White Christmas,928298,Fathom
584,Kirk Cameron: Connect,918127,Fathom
585,The Miseducation of Cameron Post,904703,FR
586,Kedarnath,901131,PackYourBag
587,Let the Sunshine In,892421,IFC
588,Tea with the Dames,889343,IFC
589,The Cakemaker,875751,Strand
590,MET Opera: Marnie,849710,Fathom
591,Bandstand: The Broadway Musical,839554,Fathom
592,Schindler's List (2018 re-release),833050,Uni.
593,Like Arrows,817990,Fathom
594,Mirai,812794,GK
595,Beast,800365,RAtt.
596,Sui Dhaaga - Made in India,790628,Yash
597,Pokemon the Movie: The Power of Us,789170,Fathom
598,Border,771930,Neon
599,The Party (2017),749827,RAtt.
600,How Long Will I Love U,746933,WGUSA
601,On Chesil Beach,745971,BST
602,The Polar Express (2018 re-release),731018,WB
603,Vox Lux,727119,Neon
604,The Catcher Was a Spy,725223,IFC
605,Burning,718991,WGUSA
606,The Little Stranger,713143,Focus
607,Canelo vs. GGG 2,707875,Fathom
608,Monster Hunt 2,706153,LGF
609,Blaze (2018),704955,IFC
610,Boundaries,703438,SPC
611,Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,695130,Fathom
612,The Trump Prophecy,671198,Fathom
613,The Island (2018),670883,WGUSA
614,Dragon Ball Z: Broly - The Legendary Super Saiyan (2018 re-release),658982,Fathom
615,Ponyo (10th Anniversary) - Studio Ghibli Fest 2018,653072,Fathom
616,Lizzie,642157,RAtt.
617,"Love, Gilda",626318,Magn.
618,Transformers: The Movie (2018 re-release),619597,Fathom
619,Foxtrot,618883,SPC
620,The Sound of Music (2018 re-release),616171,Fathom
621,Itzhak,607290,Greenwich
622,Survival Sunday: The Walking Dead/Fear the Walking Dead,605764,Fathom
623,"DCI 2018: Big, Loud & Live 15",603320,Fathom
624,The Grateful Dead Meet Up 2018,600554,Fathom
625,The Big Lebowski (20th Anniversary),582585,Fathom
626,Pick of the Litter,578717,IFC
627,Manmarziyaan,567417,Eros
628,Loveless (2018),566356,SPC
629,The Cat Returns - Studio Ghibli Fest 2018,563718,Fathom
630,A Cool Fish,551876,CL
631,Tommy Wiseau's The Room,549602,Fathom
632,The Children Act,547750,A24
633,Anna and the Apocalypse,545597,Orion
634,Dragon Ball Z: Saiyan Double Feature,540707,Fathom
635,Fireworks (2018),525280,GK
636,Castle in the Sky - Studio Ghibli Fest 2018,523664,Fathom
637,Grave of the Fireflies - Studio Ghibli Fest 2018,516962,Fathom
638,The Sandlot (25th Anniversary),516130,Fathom
639,Beetlejuice (30th Anniversary),512947,WB
640,Bullitt 50th Anniversary,511350,Fathom
641,TCM: Die Hard 30th Anniversary Event,510241,Fathom
642,The Spy Gone North,500803,CJ
643,Monsters and Men,500101,Neon
644,Bilal: A New Breed of Hero,490973,VE
645,The Great Battle,472166,WGUSA
646,The Happy Prince,466440,SPC
647,Puffs: Filmed Live Off Broadway,464483,Fathom
